# WS1617_TNN_Assignment_PA-B_training_file_no_2_training2.dat
# P=318    N=2    M=1   
-2 -1  0.540119  
-1.9596 -1  0.546049  
-1.91919 -1  0.550063  
-1.87879 -1  0.552135   
-1.47475 -1  0.469293  
-1.43434 -1  0.451852  
-1.39394 -1  0.433109  
-1.15152 -1  0.300662  
-1.11111 -1  0.276604  
-1.07071 -1  0.252388  
-1.0303 -1  0.228172  
-0.989899 -1  0.204114  
-0.949495 -1  0.180372  
-0.909091 -1  0.157101  
-0.666667 -1  0.0355155  
-0.10101 -1 -0.0273895  
-0.0606061 -1 -0.0177471  
-0.020202 -1 -0.00634131  
 0.020202 -1  0.00675336  
 0.0606061 -1  0.0214515  
 0.10101 -1  0.0376572  
 0.141414 -1  0.0552646  
 0.181818 -1  0.0741589  
 0.222222 -1  0.0942167  
 0.262626 -1  0.115307  
 0.30303 -1  0.137293  
 0.343434 -1  0.16003   
 0.666667 -1  0.3506  
 0.707071 -1  0.373163  
 0.747475 -1  0.394937  
 0.787879 -1  0.415782  
 0.828283 -1  0.435561  
 0.868687 -1  0.454145  
 0.909091 -1  0.471413  
 0.949495 -1  0.487251  
 0.989899 -1  0.501557  
 1.0303 -1  0.514237  
 1.07071 -1  0.525208  
 1.31313 -1  0.55198  
 1.35354 -1  0.54966  
 1.39394 -1  0.5454  
 1.43434 -1  0.539229   
 1.63636 -1  0.48152  
 1.83838 -1  0.386921  
 1.87879 -1  0.364836  
 1.91919 -1  0.342017  
 1.9596 -1  0.318613  
 2 -1  0.294777  
-2 -0.666667  0.485197  
-1.9596 -0.666667  0.483113  
-1.91919 -0.666667  0.479086  
-1.87879 -0.666667  0.473143  
-1.83838 -0.666667  0.465322  
-1.79798 -0.666667  0.455676  
-1.75758 -0.666667  0.444266  
-1.71717 -0.666667  0.431168  
-1.67677 -0.666667  0.416467    
-1.15152 -0.666667  0.134196  
-1.11111 -0.666667  0.110504  
-1.07071 -0.666667  0.0873019  
-1.0303 -0.666667  0.0647407   
-0.868687 -0.666667 -0.0162326  
-0.828283 -0.666667 -0.0334969  
-0.787879 -0.666667 -0.049332  
-0.747475 -0.666667 -0.0636343   
-0.505051 -0.666667 -0.112806  
-0.464646 -0.666667 -0.114394  
-0.424242 -0.666667 -0.114025  
-0.383838 -0.666667 -0.1117  
-0.343434 -0.666667 -0.107437  
-0.30303 -0.666667 -0.101261  
-0.262626 -0.666667 -0.0932132  
-0.222222 -0.666667 -0.0833467  
