# WS1617_TNN_Assignment_PA-B_training_file_no_2_training2.dat
# P=32    N=2    M=1   
1.83838  1.66667 -0.540846  
 1.87879  1.66667 -0.525768  
 1.91919  1.66667 -0.509208  
 1.9596  1.66667 -0.491274  
 2  1.66667 -0.472082  
-2  2 -0.545578  
-1.9596  2 -0.554766  
-1.91919  2 -0.562113  
-1.63636  2 -0.559561  
-1.0303  2 -0.29096  
-0.989899  2 -0.266729  
-0.949495  2 -0.242538  
-0.909091  2 -0.218544  
-0.626263  2 -0.0688526  
-0.585859  2 -0.0517578  
-0.020202  2  0.0048202  
 0.0606061  2 -0.0170971  
 0.10101  2 -0.0305975  
 0.141414  2 -0.0456785  
 0.181818  2 -0.0622417  
 0.383838  2 -0.16321  
 0.424242  2 -0.186111  
 0.464646  2 -0.209577  
 0.909091  2 -0.46063  
 0.949495  2 -0.478899  
 0.989899  2 -0.495822  
 1.0303  2 -0.51129  
 1.07071  2 -0.525202  
 1.39394  2 -0.571935  
 1.91919  2 -0.401873  
 1.9596  2 -0.379592  
 2  2 -0.356614  
